time [s];swlx [m];swly [m];swlz [m];pos0x [m];pos0y [m];pos0z [m];pos2x [m];pos2y [m];pos2z [m]
0.000000;1.00689;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.005007;1.00832;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.010017;1.01031;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.015018;1.01306;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.020012;1.01659;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.025016;1.02049;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.030018;1.02488;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.035017;1.0301;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.040011;1.03605;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.045032;1.04223;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.050013;1.04866;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.055023;1.0556;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.060022;1.06264;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.065000;1.06977;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.070010;1.07773;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.075020;1.0865;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.080029;1.09617;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.085031;1.10654;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.090002;1.11716;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.095002;1.12799;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.100001;1.13894;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.105021;1.15029;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.110014;1.16232;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.115007;1.17517;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.120001;1.18889;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.125004;1.20315;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.130030;1.21758;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.135021;1.23174;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.140017;1.24576;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.145024;1.25982;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.150024;1.27432;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.155006;1.28971;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.160006;1.30636;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.165002;1.32342;0;0.03;-0.05;0;0.03;4.05;0;0.03
0.170003;1.34055;0;0.03;-0.05;0;0.03;4.05;0;0.03
